hr_lowest,hr_average,rmssd,score_deep,temperature_deviation,temperature_trend_deviation,temperature_delta,duration,rem,efficiency,score_alignment,score_rem,light,onset_latency,restless,breath_average,score_disturbances,score,score_efficiency,score_latency,score_total
59.0,64.33,21.0,31,0.11,0.19,0.11,34560.0,6780.0,86.0,31,95,21060.0,240.0,54.0,16.25,44,70,86,70,91
61.0,65.02,21.0,24,0.05,0.16,0.05,32820.0,4500.0,86.0,48,63,22350.0,840.0,58.0,17.25,50,69,86,97,86
57.0,62.92,22.0,66,0.04,0.13,0.04,31980.0,3900.0,80.0,46,54,18000.0,1290.0,51.0,17.125,44,65,72,81,75
57.0,62.92,22.0,66,0.04,0.13,0.04,31980.0,3900.0,80.0,46,54,18000.0,1290.0,51.0,17.125,44,65,72,81,75
58.0,65.92,21.0,45,0.14,0.15,0.14,40560.0,7560.0,78.0,29,97,21630.0,150.0,48.0,16.75,49,72,67,67,98
62.0,67.58,19.0,52,0.09,0.17,0.09,18360.0,2460.0,89.0,33,34,12480.0,660.0,47.0,17.375,87,66,65,89,70
62.0,67.58,19.0,52,0.09,0.17,0.09,18360.0,2460.0,89.0,33,34,12480.0,660.0,47.0,17.375,87,66,65,89,70
57.0,64.52,20.0,31,0.09,0.17,0.09,24180.0,5010.0,93.0,69,71,15690.0,570.0,53.0,16.875,53,65,98,86,63
59.0,64.29,18.0,55,-0.06,0.1,-0.06,33660.0,6360.0,92.0,29,90,21810.0,360.0,42.0,16.625,65,79,90,75,100
60.0,64.61,20.0,71,0.18,0.14,0.18,33540.0,6210.0,87.0,48,88,19440.0,720.0,52.0,17.0,59,81,72,91,100
57.0,62.02,25.0,21,0.13,0.19,0.13,30360.0,3720.0,82.0,38,52,20070.0,390.0,52.0,17.25,52,60,76,78,73
58.0,61.51,22.0,80,-0.02,0.16,-0.02,20040.0,1200.0,84.0,98,38,12660.0,540.0,49.0,17.25,73,72,67,83,69
59.0,64.17,20.0,43,-0.15,0.04,-0.15,38160.0,6210.0,74.0,41,88,19350.0,480.0,57.0,16.625,54,69,58,81,85
61.0,65.83,16.0,15,-0.43,-0.15,-0.43,14280.0,1440.0,88.0,6,19,10200.0,480.0,55.0,17.25,43,36,90,81,24
58.0,67.92,31.0,78,-0.21,0.06,-0.21,33600.0,6270.0,93.0,100,90,20700.0,360.0,28.0,16.25,72,89,98,75,97
61.0,69.09,29.0,75,-0.13,-0.01,-0.13,35940.0,7290.0,93.0,100,96,21990.0,180.0,26.0,16.125,71,89,98,67,100
65.0,71.59,29.0,43,0.09,0.04,0.09,33900.0,7590.0,91.0,100,97,20880.0,150.0,29.0,15.625,70,84,96,67,96
65.0,70.64,30.0,95,-0.03,0.09,-0.03,35940.0,8760.0,94.0,100,99,19530.0,240.0,24.0,16.0,71,92,99,70,100
63.0,69.44,34.0,69,-0.15,0.04,-0.15,33540.0,6780.0,86.0,100,95,18120.0,300.0,27.0,15.75,68,84,86,72,89
62.0,70.05,28.0,96,-0.04,0.01,-0.04,34620.0,8040.0,92.0,100,98,17730.0,780.0,23.0,15.875,81,95,97,94,98
66.0,72.45,25.0,48,-0.17,0.0,-0.17,32040.0,5850.0,96.0,100,84,22230.0,150.0,24.0,16.125,83,86,100,67,96
67.0,74.58,21.0,67,-0.04,0.01,-0.04,31860.0,7740.0,93.0,100,97,18030.0,450.0,24.0,16.125,74,87,98,81,92
62.0,73.97,25.0,88,-0.17,0.0,-0.17,37080.0,8130.0,90.0,100,98,20220.0,240.0,23.0,15.875,68,90,95,70,100
66.0,72.62,25.0,81,-0.08,0.0,-0.08,37500.0,9060.0,94.0,100,100,21780.0,210.0,27.0,15.75,76,91,99,70,100
66.0,73.42,25.0,92,-0.11,0.01,-0.11,31380.0,6750.0,89.0,100,95,16170.0,870.0,26.0,15.625,73,88,93,99,85
63.0,72.83,22.0,91,-0.05,0.04,-0.05,31800.0,6450.0,92.0,100,92,17910.0,480.0,24.0,15.375,72,89,97,81,91
58.0,69.0,32.0,98,-0.03,0.07,-0.03,33780.0,6060.0,93.0,100,86,17790.0,390.0,26.0,15.375,72,91,98,78,97
63.0,69.69,31.0,86,-0.18,0.02,-0.18,31620.0,5940.0,89.0,100,85,17580.0,330.0,24.0,15.5,76,85,93,75,87
65.0,73.05,24.0,53,0.12,0.08,0.12,38280.0,8160.0,85.0,100,98,21480.0,900.0,28.0,15.5,72,89,83,99,100
65.0,72.12,28.0,96,0.04,0.14,0.04,35580.0,8580.0,91.0,100,99,17610.0,450.0,20.0,15.375,88,95,96,81,100
65.0,72.12,28.0,96,0.04,0.14,0.04,35580.0,8580.0,91.0,100,99,17610.0,450.0,20.0,15.375,88,95,96,81,100
65.0,72.99,23.0,87,-0.04,0.13,-0.04,33960.0,8700.0,94.0,100,99,18360.0,270.0,22.0,15.75,78,92,99,72,99
68.0,74.44,21.0,96,-0.02,0.07,-0.02,34320.0,8070.0,93.0,100,98,18060.0,270.0,21.0,15.75,79,93,98,72,99
66.0,74.89,23.0,54,-0.17,0.01,-0.17,34560.0,5370.0,90.0,100,77,22830.0,330.0,24.0,16.375,76,85,95,75,97
64.0,71.51,25.0,95,-0.14,-0.02,-0.14,34860.0,9690.0,92.0,100,100,16890.0,330.0,19.0,15.75,73,92,97,75,99
66.0,73.1,25.0,95,-0.19,-0.05,-0.19,33900.0,7680.0,91.0,100,97,17880.0,660.0,23.0,16.125,75,93,96,89,96
71.0,76.65,20.0,71,-0.13,-0.05,-0.13,33180.0,7650.0,91.0,100,97,18720.0,300.0,19.0,15.625,76,88,96,72,95
70.0,77.84,22.0,96,-0.08,-0.02,-0.08,33960.0,8880.0,87.0,100,100,14550.0,870.0,22.0,16.125,74,92,88,99,92
69.0,79.69,21.0,36,-0.02,0.02,-0.02,31860.0,8610.0,90.0,100,99,17940.0,180.0,26.0,16.0,69,81,95,67,88
71.0,79.73,22.0,96,-0.13,0.01,-0.13,35400.0,10530.0,94.0,100,100,16590.0,180.0,15.0,16.25,78,93,99,67,100
72.0,85.37,18.0,47,-0.02,0.03,-0.02,34740.0,11520.0,91.0,100,100,17550.0,240.0,24.0,16.5,71,86,96,70,98
63.0,72.72,24.0,45,-0.15,-0.04,-0.15,33660.0,7530.0,87.0,53,97,19290.0,600.0,49.0,15.25,56,77,88,86,90
64.0,69.8,26.0,89,-0.1,-0.06,-0.1,31200.0,7890.0,93.0,77,98,16170.0,990.0,33.0,14.75,75,88,98,94,89
62.0,69.0,30.0,70,0.14,0.05,0.14,29700.0,7260.0,94.0,100,96,16620.0,510.0,31.0,15.125,80,86,99,83,84
65.0,71.74,23.0,97,-0.01,0.08,-0.01,32400.0,8340.0,90.0,81,99,13800.0,1470.0,27.0,15.25,89,89,95,72,89
66.0,72.49,24.0,66,-0.2,0.0,-0.2,34200.0,8940.0,89.0,100,100,17850.0,900.0,30.0,15.125,86,92,93,99,95
66.0,73.03,21.0,23,-0.4,-0.18,-0.4,31380.0,7440.0,91.0,100,96,19680.0,300.0,39.0,15.0,70,79,96,72,86
67.0,74.91,19.0,33,0.06,-0.11,0.06,32040.0,10410.0,95.0,55,100,18030.0,390.0,37.0,15.25,70,80,100,78,94
63.0,71.54,26.0,65,-0.36,-0.14,-0.36,27600.0,7620.0,91.0,53,97,13710.0,1290.0,44.0,15.0,67,75,96,81,73
61.0,72.13,28.0,79,0.11,-0.03,0.11,35580.0,8220.0,88.0,100,98,18450.0,210.0,33.0,15.0,67,87,90,70,97
61.0,73.75,28.0,60,0.16,0.08,0.16,31920.0,7380.0,94.0,100,96,19140.0,330.0,30.0,15.375,82,87,99,75,92
70.0,75.0,19.0,73,0.02,0.14,0.02,32820.0,8370.0,94.0,82,99,18330.0,420.0,36.0,15.0,74,88,99,78,96
66.0,72.51,25.0,35,-0.12,0.04,-0.12,30840.0,6420.0,90.0,90,90,19440.0,150.0,34.0,14.875,66,77,95,67,84
64.0,72.92,24.0,40,0.06,0.03,0.06,32820.0,9090.0,88.0,81,100,17430.0,930.0,44.0,15.0,71,82,90,97,88
60.0,72.31,25.0,47,0.06,0.07,0.06,28680.0,6780.0,95.0,58,95,17850.0,210.0,42.0,15.125,66,75,100,70,82
60.0,70.72,26.0,50,-0.08,0.05,-0.08,27600.0,5640.0,93.0,60,79,17130.0,480.0,37.0,15.125,73,74,98,81,75
65.0,70.76,24.0,45,-0.4,-0.12,-0.4,30720.0,8760.0,95.0,92,99,17760.0,270.0,29.0,14.75,85,85,100,72,89
65.0,70.76,24.0,45,-0.4,-0.12,-0.4,30720.0,8760.0,95.0,92,99,17760.0,270.0,29.0,14.75,85,85,100,72,89
62.0,70.93,26.0,46,-0.11,-0.17,-0.11,33420.0,7530.0,90.0,100,97,19830.0,600.0,30.0,15.0,73,86,95,86,93
63.0,69.8,28.0,49,0.07,-0.05,0.07,31260.0,7110.0,93.0,100,96,19200.0,720.0,25.0,15.0,88,88,98,91,89
62.0,71.59,26.0,53,-0.14,0.0,-0.14,32040.0,8430.0,91.0,86,99,17640.0,540.0,44.0,14.875,63,82,96,83,89
65.0,72.45,21.0,97,-0.21,-0.05,-0.21,30360.0,6540.0,95.0,76,92,15390.0,210.0,30.0,15.25,81,86,100,70,87
